AoA_deg,CL,Cd,CL/Cd,C_MLE
-5.660000248498725,-0.1345696369645641,0.012418832999531962,-10.83593256867499,0.014147468357720757
-5.649999843142512,-0.13412078100370114,0.012354467562996964,-10.856055133076568,0.013944527693099644
-5.640000010744094,-0.1336719364745974,0.012290263093921625,-10.876246948749804,0.013741588792587972
-5.630000178345675,-0.13322309517369121,0.012226216713359633,-10.896510204020663,0.013538651165905307
-5.619999772989462,-0.13277427395625677,0.01216232897840201,-10.91684612314292,0.013335727864519064
-5.609999940591044,-0.13232546177458512,0.012098601577597807,-10.93725261765819,0.01313279925401597
-5.600000108192626,-0.13187671623748032,0.012035038292621994,-10.957731336702645,0.012929905829723977
-5.590000275794208,-0.1314279463472664,0.01197163103173253,-10.978282407710171,0.012726999924500517
-5.5799998704379945,-0.1309791695784924,0.011908379805983041,-10.998907635838545,0.012524090213580232
-5.570000038039576,-0.13053045042241965,0.011845292614793565,-11.019605396611341,0.012321206525995103
-5.560000205641158,-0.1300817505062556,0.01178236560375185,-11.0403763455476,0.012118335064023966
-5.549999800284945,-0.12963304830001418,0.011719594960677138,-11.061222570828864,0.011915457885960297
-5.539999967886526,-0.12918438755419612,0.011656987400958062,-11.082141818526692,0.011712598524665522
-5.530000135488108,-0.12873570879813942,0.011594536304920468,-11.103135598748075,0.011509733532557716
-5.519999730131895,-0.12828705626432504,0.011532243960160251,-11.124205896745734,0.011306878047733844
-5.509999897733476,-0.1278384225392257,0.011470112691409457,-11.145350179076297,0.01110403249447115
-5.500000065335057,-0.12738983130698664,0.011408142858595528,-11.166570482679752,0.010901202616386755
-5.490000232936639,-0.12694125934839462,0.011346332886602573,-11.18786665410489,0.0106983867279712
-5.479999827580426,-0.12649265273481208,0.011284676099167662,-11.209240887661982,0.010495550960573995
-5.4699999951820075,-0.12604407101848358,0.011223181078690454,-11.230690312731788,0.010292726269214215
-5.460000162783589,-0.12559552499793933,0.011161847107038981,-11.252216930899833,0.010089916045756238
-5.449999757427376,-0.12514696720936663,0.011100668394668221,-11.273822688864048,0.00988710104945656
-5.439999925028958,-0.12469846716658697,0.011039654076522822,-11.295504940845344,0.009684310380311532
-5.430000092630539,-0.12424996157943125,0.010978796783205989,-11.317265820011674,0.009481520318851617
-5.420000260232121,-0.12380151336347561,0.010918102529030728,-11.339105218538949,0.00927875399088194
-5.409999854875908,-0.12335301782667249,0.010857560880557211,-11.361024744292477,0.009075964414979118
-5.4000000224774904,-0.12290456991572275,0.01079718194559445,-11.383022953120767,0.008873201103254886
-5.390000190079071,-0.12245614008804884,0.010736962730624812,-11.40510060063539,0.008670436841316995
-5.379999784722858,-0.12200769136131842,0.010676898351484039,-11.42725980381371,0.008467669172681646
-5.369999952324441,-0.12155929571301566,0.010616997064634887,-11.449498852922215,0.008264922737124522
-5.360000119926022,-0.12111090661385703,0.010557254738615896,-11.471818158451978,0.008062178770598097
-5.349999714569807,-0.12066252013626906,0.010497668609497754,-11.494220728886392,0.007859440124012197
-5.339999882171391,-0.12021416658388442,0.010438244447188832,-11.516703521563898,0.0076567092710903804
-5.3300000497729725,-0.11976584914189818,0.010378980832221567,-11.539268746897081,0.007453999884779991
-5.320000217374554,-0.11931751807013904,0.010319873868780602,-11.56191631673863,0.007251282009693324
-5.309999812018341,-0.11886918540814757,0.010260923448977144,-11.58464791197687,0.007048559645627024
-5.299999979619922,-0.11842087350756145,0.010202133517098932,-11.60746164604553,0.006845846931765319
-5.2900001472215035,-0.11797262372008042,0.010143506405058124,-11.630359267210855,0.0066431644271492
-5.279999741865289,-0.1175243048059239,0.010085029933296128,-11.653342189685794,0.0064404463246491486
-5.269999909466872,-0.11707603281624175,0.010026716204662145,-11.67640835010416,0.0062377493371034935
-5.260000077068454,-0.11662781231476974,0.009968564240230793,-11.69955968624721,0.006035077170587701
-5.250000244670035,-0.11617960074337969,0.009910570738256233,-11.722796175089055,0.005832407155805194
-5.239999839313822,-0.11573136503311397,0.00985273162134343,-11.74611970373896,0.005629726927752561
-5.230000006915404,-0.11528317811607298,0.009795055453423615,-11.769527866815563,0.005427065289195744
-5.2200001745169855,-0.11483500707046489,0.009737537973194151,-11.793022772962413,0.005224411670194373
-5.209999769160772,-0.1143868075862791,0.009680174375791063,-11.816606100851507,0.005021746119767027
-5.199999936762354,-0.11393866751529419,0.009622974716968925,-11.840275056981856,0.004819103807772898
-5.190000104363936,-0.11349052154670501,0.009565931673752024,-11.864032215295019,0.00461645724648594
-5.180000271965517,-0.11304240664561303,0.009509048990923995,-11.887877195028384,0.004413827103734243
-5.169999866609304,-0.11259428694742063,0.009452321988615814,-11.911812471372317,0.004211194317281411
-5.160000034210887,-0.11214619545989253,0.009395756069601842,-11.935835139730791,0.004008569955687517
-5.1500002018124675,-0.11169809950904297,0.00933934698649633,-11.959947485680333,0.0038059441539439838
-5.139999796456253,-0.11125001957691913,0.00928309581261953,-11.98415074265255,0.0036033276096443597
-5.129999964057837,-0.11080195682696428,0.009227004701805961,-12.008442653689935,0.003400711268386454
-5.120000131659417,-0.11035392179177508,0.009171073075461058,-12.03282548113676,0.0031981125701481634
-5.1099997263032035,-0.10990588953588872,0.009115297931429631,-12.057300854306934,0.002995512171785575
-5.099999893904785,-0.10945785790697544,0.009059681270929702,-12.081866307835673,0.002792908515204228
-5.090000061506368,-0.10900989262422899,0.009004227510755384,-12.106523573956641,0.002590340217603816
-5.08000022910795,-0.10856190258041155,0.008948928883469305,-12.131273361770695,0.0023877549049562425
-5.069999823751736,-0.10811389572079425,0.008893785209056112,-12.1561172413639,0.0021851618174223222
-5.059999991353318,-0.10766594064892251,0.008838804322279186,-12.181052631467196,0.0019825945593632357
-5.0500001589549,-0.1072180060151619,0.008783982208946826,-12.206081873202818,0.0017800337263326452
-5.039999753598686,-0.10677002963176982,0.008729313138449943,-12.231206274578538,0.0015774488718358012
-5.029999921200268,-0.10632213161232137,0.008674808517845125,-12.256424034444558,0.001374901674851222
-5.020000088801849,-0.10587423347140913,0.00862046135554561,-12.281736336918838,0.001172353915329628
-5.010000256403432,-0.10542633767243714,0.008566271462220477,-12.307144145197263,0.0009698076954525534
-4.999999851047218,-0.10497841017257466,0.00851223533718123,-12.33264894757216,0.0007672435585001787
-4.9900000186488,-0.10453058707229934,0.008458365713225552,-12.358248699137551,0.000564728444884
-4.980000186250382,-0.10408268242254307,0.008404647140445524,-12.383944344512447,0.00036216892955415246
-4.9699997808941685,-0.10363484774492285,0.00835109017243218,-12.409738801172606,0.00015964628768665534
-4.95999994849575,-0.1031870261869047,0.008297692006926186,-12.43562982342237,-4.287505481184225e-05
-4.950000116097332,-0.1027392294966939,0.008244453450465268,-12.461617997357472,-0.0002453826752396663
-4.940000283698914,-0.10229138054767539,0.008191368099374163,-12.4877040448824,-0.00044792136822557085
-4.9299998783426995,-0.10184359098670272,0.008138443368437012,-12.513890725304853,-0.0006504278352274628
-4.920000045944281,-0.10139581729209972,0.008085677823643703,-12.540175295582955,-0.0008529308164385201
-4.910000213545863,-0.10094802956235996,0.00803306857765491,-12.566558916621332,-0.0010554420778772042
-4.89999980818965,-0.10050026026953761,0.007980616842260884,-12.593044153848414,-0.0012579464801184006
-4.889999975791231,-0.10005252219091679,0.007928325672866863,-12.619628193797196,-0.0014604342963282064
-4.880000143392814,-0.09960477365514979,0.007876191025937122,-12.646312580172426,-0.0016629321415623582
-4.869999738036601,-0.09915702042675086,0.007824211832453564,-12.673100185690728,-0.001865436128837466
-4.8599999056381815,-0.09870933908779268,0.007772396175304115,-12.699988119677961,-0.002067901839586209
-4.850000073239764,-0.09826166188889308,0.0077207380904835525,-12.72697774970617,-0.0022703691203399268
-4.840000240841346,-0.09781395951299839,0.0076692350936034,-12.754069776082503,-0.002472849272118722
-4.829999835485132,-0.09736627578774462,0.00761788956713209,-12.78126637695539,-0.002675321892899844
-4.820000003086713,-0.09691862755077223,0.007566704821158627,-12.808564605263918,-0.0028777814849390176
-4.810000170688295,-0.0964709449775689,0.0075156746587570315,-12.83596607859601,-0.0030802588549544026
-4.799999765332082,-0.09602332473313999,0.007464804907063393,-12.863474120037646,-0.0032827044499529933
-4.789999932933664,-0.09557568161825974,0.007414091777569235,-12.89108423332668,-0.003485167192130941
-4.780000100535245,-0.09512805675803758,0.007363536812652039,-12.918799644565969,-0.00368762050278873
-4.770000268136827,-0.09468044884134273,0.00731314040565401,-12.946619863628273,-0.0038900692965874186
-4.759999862780615,-0.09423283321977796,0.00726289911156128,-12.974548010693908,-0.00409252121542729
-4.750000030382195,-0.09378526709762564,0.007212819345972461,-13.002580904787811,-0.004294952226926063
-4.740000197983777,-0.09333768914428255,0.007162896000612804,-13.030719577151094,-0.004497391352159685
-4.729999792627564,-0.09289013814525078,0.007113130278928557,-13.058967641914569,-0.004699815448030843
